Year,Title,Experience,Employment Status,Salary (USD),Employee Residence,Remote Ratio,Company Location,Company Size
2024,Site Reliability Engineer,Mid-level / Intermediate,Full-time,120000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,165100,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,188500,United States,0,United States,Medium (50-250)
2024,Software Developer,Senior-level / Expert,Full-time,196100,Canada,0,Canada,Medium (50-250)
2024,Insight Analyst,Entry-level / Junior,Full-time,57442,Great Britain,0,Great Britain,Medium (50-250)
2024,Insight Analyst,Entry-level / Junior,Full-time,63825,Great Britain,0,Great Britain,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,135200,United States,0,United States,Medium (50-250)
2024,Software Developer,Senior-level / Expert,Full-time,144900,Canada,0,Canada,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,220000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,370000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,250900,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,218000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,137500,United States,100,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,123200,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,115000,United States,100,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,115000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,160000,United States,100,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,110000,United States,100,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,160000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,90000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,176000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,195000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,176000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,157000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,296100,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,195000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,144500,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,157000,United States,0,United States,Medium (50-250)
2024,Research Engineer,Senior-level / Expert,Full-time,350000,United States,0,United States,Medium (50-250)
2024,Data Scientist,Senior-level / Expert,Full-time,165000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,173900,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,95000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,60675,United States,0,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,85000,United States,0,United States,Medium (50-250)
2024,Research Engineer,Senior-level / Expert,Full-time,200000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,156510,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,100000,United States,100,United States,Medium (50-250)
2024,Data Analyst,Entry-level / Junior,Full-time,75000,United States,0,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,130000,Canada,100,Canada,Medium (50-250)
2024,Applied Scientist,Mid-level / Intermediate,Full-time,222200,United States,0,United States,Large (>250)
2024,Applied Scientist,Mid-level / Intermediate,Full-time,136000,United States,0,United States,Large (>250)
2024,Data Analyst,Senior-level / Expert,Full-time,80000,United States,100,United States,Medium (50-250)
2024,Applied Scientist,Mid-level / Intermediate,Full-time,222200,United States,0,United States,Large (>250)
2024,Applied Scientist,Mid-level / Intermediate,Full-time,136000,United States,0,United States,Large (>250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,500000,Canada,0,Canada,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,100000,Canada,0,Canada,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,263500,United States,100,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,147560,United States,100,United States,Medium (50-250)
2024,Data Architect,Senior-level / Expert,Full-time,123000,United States,0,United States,Medium (50-250)
2024,Data Architect,Senior-level / Expert,Full-time,184000,United States,0,United States,Medium (50-250)
2024,Decision Scientist,Mid-level / Intermediate,Full-time,145000,United States,100,United States,Medium (50-250)
2024,Data Analyst,Senior-level / Expert,Full-time,170000,Canada,100,Canada,Medium (50-250)
2024,Decision Scientist,Mid-level / Intermediate,Full-time,125000,United States,100,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,189000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,177300,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,88600,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,201300,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,136300,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,302000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,200000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,213000,United States,100,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,159000,United States,100,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,178600,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,123900,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,80000,United States,0,United States,Medium (50-250)
2024,Data Engineer,Senior-level / Expert,Full-time,150000,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,500000,United States,0,United States,Medium (50-250)
2024,AI Developer,Mid-level / Intermediate,Full-time,185000,United States,0,United States,Medium (50-250)
2024,AI Developer,Senior-level / Expert,Full-time,235000,United States,0,United States,Medium (50-250)
2024,AI Developer,Mid-level / Intermediate,Full-time,135000,United States,0,United States,Medium (50-250)
2024,AI Developer,Senior-level / Expert,Full-time,185000,United States,0,United States,Medium (50-250)
2024,Business Intelligence Engineer,Mid-level / Intermediate,Full-time,165600,United States,0,United States,Large (>250)
2024,Business Intelligence Engineer,Mid-level / Intermediate,Full-time,74100,United States,0,United States,Large (>250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,175000,United States,100,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,235000,United States,100,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,350000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Mid-level / Intermediate,Full-time,122887,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,292128,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,200000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Mid-level / Intermediate,Full-time,253692,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Mid-level / Intermediate,Full-time,144000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,161500,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,141990,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,185000,United States,100,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,161500,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Mid-level / Intermediate,Full-time,216000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,220000,United States,100,United States,Medium (50-250)
2024,Engineering Manager,Mid-level / Intermediate,Full-time,224000,Ireland,0,Ireland,Medium (50-250)
2024,Engineering Manager,Mid-level / Intermediate,Full-time,115555,Ireland,0,Ireland,Medium (50-250)
